#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-3p	0	70	147	0	groove	486	486	0	4033	75	0	0	0	0	0	486	?	?
start-3p	0	70	147	119	1	900	733	41212	352	323	171	67	13	40	27	486	?	?
start-3p	0	70	147	113	8	3810	1126	51816	286	76	79	13	4	899	898	486	?	?
start-3p	0	70	147	105	16	4010	1468	52416	281	38	71	6	2	1307	1307	486	?	?
start-3p	0	70	147	103	24	8110	2052	52420	251	25	57	4	1	1927	1927	486	?	?
start-3p	0	70	147	107	32	9090	5483	52428	241	20	78	3	1	5334	5334	486	?	?
start-3p	0	70	147	99	40	6010	3473	52432	214	13	39	2	1	3387	3387	486	?	?
start-3p	0	70	147	106	48	9010	5836	52440	183	12	35	2	1	5758	5758	486	?	?
start-3p	0	70	147	101	56	12410	9711	52444	185	10	34	2	0	9635	9635	486	?	?
start-3p	0	70	147	101	64	18620	11342	52452	175	10	32	1	1	11270	11270	486	?	?
