#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-3p	0	70	147	101	64	18620	11342	52452	175	10	32	1	1	11270	11270	486	?	?
start-4p	1	677	1790	281	64	16520	11754	52452	315	110	74	20	4	11481	11480	1592	?	?
start-5p	2	9358	30457	605	64	21630	16544	52448	447	926	354	187	34	14617	14605	8750	?	?
start-6p	3	168422	656214	1098	64	39050	33906	52452	899	7155	2389	1139	200	21010	20925	119754	?	?
start-7p	4	3724544	16956727	1815	64	306520	301235	52452	520	161709	23250	23499	3917	60435	58426	5128402	?	?
start-8p	5	97472377	508622232	2817	64	9037170	9032297	52452	1221	5551995	662722	783230	117329	1036396	974987	?	?	?
