#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
append-3-list-7	0	4046	11210	0	groove	4978	4978	0	12756	1508	0	0	0	0	0	4978	?	?
append-3-list-7	0	4046	11210	6416	8	15120	12305	51884	2208	2935	744	392	96	7325	7273	4978	?	?
append-3-list-7	0	4046	11210	6405	16	13220	10382	52420	2006	1785	488	273	61	7239	7210	4978	?	?
append-3-list-7	0	4046	11210	6397	24	14660	10503	52424	1976	1409	384	245	50	7919	7895	4978	?	?
append-3-list-7	0	4046	11210	6374	32	17520	12014	52428	1700	1065	297	182	41	10003	9983	4978	?	?
append-3-list-7	0	4046	11210	6375	40	21740	14742	52436	1754	979	266	188	44	12932	12918	4978	?	?
append-3-list-7	0	4046	11210	6323	48	34950	29507	52452	1678	830	230	160	33	27981	27970	4978	?	?
append-3-list-7	0	4046	11210	6332	56	26530	20035	52476	1552	775	210	142	30	18570	18557	4978	?	?
append-3-list-7	0	4046	11210	6327	64	27140	21240	52452	1700	753	197	148	30	19842	19831	4978	?	?
