#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
append-3-list-7	0	4046	11210	6327	64	27140	21240	52452	1700	753	197	148	30	19842	19831	4978	?	?
append-4-list-8	1	261460	969977	69117	64	91730	85844	52452	19565	28471	3632	2852	630	45589	45338	201680	?	?
append-5-list-8	2	14543456	67100141	500716	64	3534320	3527442	52456	172320	2324416	153324	206005	40681	599794	583922	?	?	?
append-6-list-8	3	?	?	?	64	?	?	?	?	?	?	?	?	?	?	?	?	?
