#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-5p	2	9358	30457	0	groove	8750	8750	0	7228	1851	0	0	0	0	0	8750	?	?
start-5p	2	9358	30457	616	1	25540	25376	42824	734	14745	3231	2448	506	1483	574	8750	?	?
start-5p	2	9358	30457	614	8	12620	9826	51880	753	3556	1463	655	114	2795	2745	8750	?	?
start-5p	2	9358	30457	611	16	10430	7983	52416	637	2137	939	400	68	3658	3626	8750	?	?
start-5p	2	9358	30457	609	24	11530	8036	52420	505	1666	712	328	52	4608	4582	8750	?	?
start-5p	2	9358	30457	609	32	21730	15131	52428	498	2210	672	308	80	11230	11211	8750	?	?
start-5p	2	9358	30457	607	40	11710	9062	52432	454	1309	534	266	46	6359	6341	8750	?	?
start-5p	2	9358	30457	608	48	15820	12418	52440	447	1053	441	222	37	10196	10181	8750	?	?
start-5p	2	9358	30457	605	56	17420	14581	52472	447	952	371	191	35	12614	12601	8750	?	?
start-5p	2	9358	30457	605	64	21630	16544	52448	447	926	354	187	34	14617	14605	8750	?	?
