#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-3p	0	70	147	106	48	9010	5836	52440	183	12	35	2	1	5758	5758	486	?	?
start-4p	1	677	1790	284	48	9710	6578	52440	322	131	85	27	6	6267	6266	1592	?	?
start-5p	2	9358	30457	608	48	15820	12418	52440	447	1053	441	222	37	10196	10181	8750	?	?
start-6p	3	168422	656214	1100	48	32870	29463	52472	877	9727	2941	1569	279	12523	12394	119754	?	?
start-7p	4	3724544	16956727	1817	48	360280	356512	52448	487	210102	29926	31045	5240	44888	41881	5128402	?	?
start-8p	5	97472377	508622232	2816	48	11047020	11043906	52436	1300	7290032	869727	1034253	155662	585688	493156	?	?	?
