#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
append-5-list-8	2	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Out of memory"
append-5-list-8	2	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
append-5-list-8	2	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?
append-5-list-8	2	?	?	?	16	?	?	?	?	?	?	?	?	?	?	?	?	?
append-5-list-8	2	?	?	?	24	?	?	?	?	?	?	?	?	?	?	?	?	?
append-5-list-8	2	14543456	67100141	500724	32	6186280	6181683	52432	185457	4547976	297171	401843	80198	494006	458364	?	?	?
append-5-list-8	2	14543456	67100141	500724	40	5013460	5008144	52472	180656	3607550	237157	319044	63826	493695	465168	?	?	?
append-5-list-8	2	14543456	67100141	500721	48	4342770	4336381	52460	178342	2855222	202943	267761	52233	683340	660916	?	?	?
append-5-list-8	2	14543456	67100141	500724	56	3764000	3758624	52448	176826	2433441	173400	229142	44393	643944	624662	?	?	?
append-5-list-8	2	14543456	67100141	500716	64	3534320	3527442	52456	172320	2324416	153324	206005	40681	599794	583922	?	?	?
