#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
append-6-list-8	3	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Out of memory"
append-6-list-8	3	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	16	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	24	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	32	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	40	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	48	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	56	?	?	?	?	?	?	?	?	?	?	?	?	?
append-6-list-8	3	?	?	?	64	?	?	?	?	?	?	?	?	?	?	?	?	?
