#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-05	2	705	2102	0	groove	1239	1239	0	1380	633	0	0	0	0	0	1239	?	?
start-05	2	705	2102	232	8	6320	3097	51820	354	604	317	132	18	1753	1744	1239	?	?
start-05	2	705	2102	233	16	5810	2966	52340	334	283	166	58	11	2339	2336	1239	?	?
start-05	2	705	2102	231	24	5710	3124	52424	344	206	128	39	8	2662	2660	1239	?	?
start-05	2	705	2102	226	32	7380	3363	52432	341	150	105	28	6	3009	3008	1239	?	?
start-05	2	705	2102	226	40	7110	3853	52436	334	124	94	23	5	3554	3553	1239	?	?
start-05	2	705	2102	216	48	10710	6657	52444	331	100	82	19	4	6406	6405	1239	?	?
start-05	2	705	2102	217	56	12520	8947	52448	341	96	82	15	3	8698	8697	1239	?	?
start-05	2	705	2102	224	64	16320	10615	52456	326	91	79	15	3	10376	10375	1239	?	?
