#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-12	9	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Exceeded time limit (4h)"
start-12	9	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
start-12	9	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?
start-12	9	34508916	272131154	31469	16	13176000	13172012	52420	11196	9239754	1037522	1044696	108291	474000	404166	?	?	?
start-12	9	34508916	272131154	31444	24	8811560	8808175	52424	11070	6129720	691120	685111	71720	396140	348204	?	?	?
start-12	9	34508916	272131154	31408	32	6732560	6728110	52432	10887	4615731	517685	520105	53520	395131	359521	?	?	?
start-12	9	34508916	272131154	31398	40	5380930	5377090	52436	10560	3664861	411511	413506	42906	343394	315276	?	?	?
start-12	9	34508916	272131154	31385	48	4501890	4497277	52460	10322	3093395	346965	345432	35986	255313	231883	?	?	?
start-12	9	34508916	272131154	31392	56	3948440	3943817	52448	12670	2548788	276040	288765	29793	411687	392027	?	?	?
start-12	9	34508916	272131154	31411	64	3641700	3635288	52456	9998	2338237	266465	261686	27245	411497	396035	?	?	?
