#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-13	10	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Out of memory"
start-13	10	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	16	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	24	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	32	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	40	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	48	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	56	?	?	?	?	?	?	?	?	?	?	?	?	?
start-13	10	?	?	?	64	?	?	?	?	?	?	?	?	?	?	?	?	?
