#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-11	8	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Exceeded time limit (4h)"
start-11	8	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
start-11	8	7383773	52931771	16475	8	4894080	4890342	51884	5879	3338033	402038	378866	43000	248799	221271	?	?	?
start-11	8	7383773	52931771	16443	16	2458470	2455022	52420	5949	1677676	201926	193466	21654	119807	105998	?	?	?
start-11	8	7383773	52931771	16434	24	1655210	1652272	52424	5983	1108174	135542	128383	14342	107451	98260	?	?	?
start-11	8	7383773	52931771	16427	32	1345010	1340444	52432	5682	865033	105879	97839	10908	123026	117430	?	?	?
start-11	8	7383773	52931771	16416	40	1022670	1018849	52436	5542	661659	81442	76517	8597	95024	89543	?	?	?
start-11	8	7383773	52931771	16395	48	853020	848376	52444	5575	554662	68255	63742	7176	74244	69728	?	?	?
start-11	8	7383773	52931771	16378	56	742470	738049	52448	17818	453789	54549	52623	5894	97700	93906	?	?	?
start-11	8	7383773	52931771	16403	64	699030	692249	52456	5255	422080	52682	48527	5447	100490	97503	?	?	?
