#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
append-4-list-8	1	261460	969977	0	groove	201680	201680	0	380605	83937	0	0	0	0	0	201680	?	?
append-4-list-8	1	261460	969977	69147	8	352230	349323	51820	25946	209716	17599	19576	4814	76263	74138	201680	?	?
append-4-list-8	1	261460	969977	69137	16	195580	192523	52420	23814	105854	9625	9929	2441	53389	52344	201680	?	?
append-4-list-8	1	261460	969977	69131	24	143920	140425	52424	22812	72103	7085	6901	1669	44615	43912	201680	?	?
append-4-list-8	1	261460	969977	69125	32	117550	114124	52432	22117	55042	5704	5308	1266	40477	39950	201680	?	?
append-4-list-8	1	261460	969977	69131	40	103030	98401	52436	21182	43855	4820	4272	1009	39212	38803	201680	?	?
append-4-list-8	1	261460	969977	69116	48	92630	89496	52444	20501	37666	4316	3708	862	38337	37987	201680	?	?
append-4-list-8	1	261460	969977	69119	56	86510	82303	52448	31050	30148	3758	3059	695	39989	39681	201680	?	?
append-4-list-8	1	261460	969977	69117	64	91730	85844	52452	19565	28471	3632	2852	630	45589	45338	201680	?	?
