#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-8p	5	?	?	0	groove	?	?	0	?	?	0	0	0	0	0	?	1	"Exceeded time limit (4h)"
start-8p	5	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
start-8p	5	?	?	?	8	?	?	?	?	?	?	?	?	?	?	?	?	?
start-8p	5	?	?	?	16	?	?	?	?	?	?	?	?	?	?	?	?	?
start-8p	5	?	?	?	24	?	?	?	?	?	?	?	?	?	?	?	?	?
start-8p	5	?	?	?	32	?	?	?	?	?	?	?	?	?	?	?	?	?
start-8p	5	97472377	508622232	2817	40	13323430	13320645	52432	1391	8640369	1039116	1238146	184006	901714	791955	?	?	?
start-8p	5	97472377	508622232	2816	48	11047020	11043906	52436	1300	7290032	869727	1034253	155662	585688	493156	?	?	?
start-8p	5	97472377	508622232	2817	56	10235700	10233159	52444	1393	6300296	752530	893054	134508	1155582	1080565	?	?	?
start-8p	5	97472377	508622232	2817	64	9037170	9032297	52452	1221	5551995	662722	783230	117329	1036396	974987	?	?	?
