#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-6p	3	168422	656214	0	groove	119754	119754	0	159437	30395	0	0	0	0	0	119754	?	?
start-6p	3	168422	656214	1106	1	528540	528382	55016	245	342997	43781	54488	8332	28057	11335	119754	?	?
start-6p	3	168422	656214	1106	8	85600	82909	51880	428	47332	8910	7058	1369	9020	8323	119754	?	?
start-6p	3	168422	656214	1104	16	52170	49479	52416	885	24901	5550	3809	722	9159	8807	119754	?	?
start-6p	3	168422	656214	1104	24	40850	37380	52420	887	17519	4329	2750	497	8362	8113	119754	?	?
start-6p	3	168422	656214	1102	32	34740	32095	52428	881	13650	3619	2143	388	9101	8911	119754	?	?
start-6p	3	168422	656214	1101	40	32340	29679	52448	875	11095	3210	1804	320	10557	10408	119754	?	?
start-6p	3	168422	656214	1100	48	32870	29463	52472	877	9727	2941	1569	279	12523	12394	119754	?	?
start-6p	3	168422	656214	1101	56	35950	33115	52472	895	8037	2566	1282	226	18836	18736	119754	?	?
start-6p	3	168422	656214	1098	64	39050	33906	52452	899	7155	2389	1139	200	21010	20925	119754	?	?
