#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-08	5	72434	364987	0	groove	32973	32973	0	26933	25566	0	0	0	0	0	32973	?	?
start-08	5	72434	364987	2123	8	41960	38839	51820	828	19870	4560	2541	391	7389	7179	32973	?	?
start-08	5	72434	364987	2123	16	28960	25996	52420	998	11406	3067	1531	212	7278	7158	32973	?	?
start-08	5	72434	364987	2120	24	24650	21987	52424	977	8453	2569	1192	160	7545	7464	32973	?	?
start-08	5	72434	364987	2099	32	25530	20560	52432	972	6528	2200	934	120	9093	9031	32973	?	?
start-08	5	72434	364987	2110	40	23150	19807	52436	922	5366	1949	795	100	10188	10134	32973	?	?
start-08	5	72434	364987	2100	48	24030	19803	52440	896	4670	1744	705	91	11378	11330	32973	?	?
start-08	5	72434	364987	2099	56	27730	23820	52448	1103	3962	1503	570	71	16592	16548	32973	?	?
start-08	5	72434	364987	2119	64	31240	25232	52452	831	3797	1474	551	70	18240	18201	32973	?	?
