#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-07	4	15473	67244	0	groove	8104	8104	0	6293	4709	0	0	0	0	0	8104	?	?
start-07	4	15473	67244	1041	1	39270	39190	42276	744	24117	5038	3037	411	1863	980	8104	?	?
start-07	4	15473	67244	1031	8	16530	13211	51820	639	4847	1906	708	107	4229	4171	8104	?	?
start-07	4	15473	67244	1027	16	13320	10366	52420	563	2998	1352	470	62	4525	4487	8104	?	?
start-07	4	15473	67244	1016	24	12530	9867	52424	550	2325	1140	389	47	5161	5129	8104	?	?
start-07	4	15473	67244	1006	32	14900	10687	52432	539	1929	979	347	43	6682	6655	8104	?	?
start-07	4	15473	67244	1005	40	13620	10199	52436	529	1582	784	295	33	6960	6940	8104	?	?
start-07	4	15473	67244	994	48	16330	12063	52440	527	1353	680	265	31	9263	9248	8104	?	?
start-07	4	15473	67244	1006	56	19540	15869	52448	536	1237	576	214	29	13373	13359	8104	?	?
start-07	4	15473	67244	997	64	24130	18003	52456	522	1227	558	236	29	15482	15469	8104	?	?
