#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-3p	0	70	147	99	40	6010	3473	52432	214	13	39	2	1	3387	3387	486	?	?
start-4p	1	677	1790	281	40	7310	4777	52432	335	178	103	36	9	4372	4371	1592	?	?
start-5p	2	9358	30457	607	40	11710	9062	52432	454	1309	534	266	46	6359	6341	8750	?	?
start-6p	3	168422	656214	1101	40	32340	29679	52448	875	11095	3210	1804	320	10557	10408	119754	?	?
start-7p	4	3724544	16956727	1818	40	422940	420016	52432	497	252034	35347	37185	6188	47103	43444	5128402	?	?
start-8p	5	97472377	508622232	2817	40	13323430	13320645	52432	1391	8640369	1039116	1238146	184006	901714	791955	?	?	?
