#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-04	1	154	353	0	groove	386	386	0	1455	139	0	0	0	0	0	386	?	?
start-04	1	154	353	107	8	4410	1462	51884	316	115	113	22	8	1146	1146	386	?	?
start-04	1	154	353	103	16	4410	1488	52420	294	63	89	12	3	1276	1276	386	?	?
start-04	1	154	353	102	24	4410	1918	52424	304	39	68	7	2	1763	1763	386	?	?
start-04	1	154	353	97	32	6580	2601	52432	301	28	63	4	1	2471	2470	386	?	?
start-04	1	154	353	100	40	6410	3265	52436	291	24	62	4	1	3139	3139	386	?	?
start-04	1	154	353	101	48	10710	6843	52440	283	18	51	3	1	6741	6741	386	?	?
start-04	1	154	353	100	56	11620	8258	52448	288	16	53	2	1	8156	8156	386	?	?
start-04	1	154	353	105	64	15230	9685	52456	282	15	53	2	1	9581	9581	386	?	?
