#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-06	3	3329	12135	0	groove	3416	3416	0	3324	1473	0	0	0	0	0	3416	?	?
start-06	3	3329	12135	511	1	9220	9086	41324	453	4849	1752	683	73	415	202	3416	?	?
start-06	3	3329	12135	503	8	9330	6313	51820	429	1657	791	304	36	2912	2893	3416	?	?
start-06	3	3329	12135	493	16	8420	5607	52420	417	1081	511	211	27	3314	3301	3416	?	?
start-06	3	3329	12135	493	24	8910	5852	52424	348	821	401	154	24	4063	4050	3416	?	?
start-06	3	3329	12135	495	32	10610	6659	52432	407	729	337	153	19	5077	5067	3416	?	?
start-06	3	3329	12135	487	40	10620	7331	52436	400	625	289	133	17	5989	5983	3416	?	?
start-06	3	3329	12135	491	48	12320	8273	52440	397	502	235	109	14	7199	7194	3416	?	?
start-06	3	3329	12135	485	56	15920	12159	52448	409	431	200	85	12	11260	11256	3416	?	?
start-06	3	3329	12135	491	64	19020	13040	52456	395	418	184	85	12	12172	12168	3416	?	?
