#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-7p	4	3724544	16956727	0	groove	5128402	5128402	0	2816848	1684742	0	0	0	0	0	5128402	?	?
start-7p	4	?	?	?	1	?	?	?	?	?	?	?	?	?	?	?	?	?
start-7p	4	3724544	16956727	1819	8	2005440	2002469	51880	1085	1304666	171277	189141	32118	90063	71446	5128402	?	?
start-7p	4	3724544	16956727	1818	16	1013390	1010578	52416	679	645870	86824	94699	15871	60709	51488	5128402	?	?
start-7p	4	3724544	16956727	1818	24	692720	688635	52420	503	428154	58547	62990	10558	57314	51223	5128402	?	?
start-7p	4	3724544	16956727	1818	32	525950	519634	52428	506	319867	44004	47102	7901	47491	42916	5128402	?	?
start-7p	4	3724544	16956727	1818	40	422940	420016	52432	497	252034	35347	37185	6188	47103	43444	5128402	?	?
start-7p	4	3724544	16956727	1817	48	360280	356512	52448	487	210102	29926	31045	5240	44888	41881	5128402	?	?
start-7p	4	3724544	16956727	1816	56	338670	335658	52444	513	182527	26238	26809	4526	63610	61146	5128402	?	?
start-7p	4	3724544	16956727	1815	64	306520	301235	52452	520	161709	23250	23499	3917	60435	58426	5128402	?	?
