#startstate	index	states	transitions	leafdb	workers	time_elapsed	time_groove	mem_ltsmin	mem_groove	time_can	time_strategy	time_encode	time_decode	time_revc_state	time_recv_values	generator_ref_time	aborted	comment
start-3p	0	70	147	101	56	12410	9711	52444	185	10	34	2	0	9635	9635	486	?	?
start-4p	1	677	1790	271	56	11620	9032	52444	323	116	74	23	4	8749	8748	1592	?	?
start-5p	2	9358	30457	605	56	17420	14581	52472	447	952	371	191	35	12614	12601	8750	?	?
start-6p	3	168422	656214	1101	56	35950	33115	52472	895	8037	2566	1282	226	18836	18736	119754	?	?
start-7p	4	3724544	16956727	1816	56	338670	335658	52444	513	182527	26238	26809	4526	63610	61146	5128402	?	?
start-8p	5	97472377	508622232	2817	56	10235700	10233159	52444	1393	6300296	752530	893054	134508	1155582	1080565	?	?	?
